date_id,full_date,year,month,day,weekday,quarter
20060324,2006-03-24 22:30:00+00:00,2006,3,24,Friday,2006Q1
20060325,2006-03-25 22:30:00+00:00,2006,3,25,Saturday,2006Q1
20060326,2006-03-26 22:30:00+00:00,2006,3,26,Sunday,2006Q1
20060327,2006-03-27 22:30:00+00:00,2006,3,27,Monday,2006Q1
20060328,2006-03-28 22:30:00+00:00,2006,3,28,Tuesday,2006Q1
20060329,2006-03-29 22:30:00+00:00,2006,3,29,Wednesday,2006Q1
20060330,2006-03-30 22:30:00+00:00,2006,3,30,Thursday,2006Q1
20060331,2006-03-31 22:30:00+00:00,2006,3,31,Friday,2006Q1
20060401,2006-04-01 22:30:00+00:00,2006,4,1,Saturday,2006Q2
20060402,2006-04-02 22:30:00+00:00,2006,4,2,Sunday,2006Q2
20060403,2006-04-03 22:30:00+00:00,2006,4,3,Monday,2006Q2
20060404,2006-04-04 22:30:00+00:00,2006,4,4,Tuesday,2006Q2
20060405,2006-04-05 22:30:00+00:00,2006,4,5,Wednesday,2006Q2
20060406,2006-04-06 22:30:00+00:00,2006,4,6,Thursday,2006Q2
20060407,2006-04-07 22:30:00+00:00,2006,4,7,Friday,2006Q2
20060408,2006-04-08 22:30:00+00:00,2006,4,8,Saturday,2006Q2
20060409,2006-04-09 22:30:00+00:00,2006,4,9,Sunday,2006Q2
20060410,2006-04-10 22:30:00+00:00,2006,4,10,Monday,2006Q2
20060411,2006-04-11 22:30:00+00:00,2006,4,11,Tuesday,2006Q2
20060412,2006-04-12 22:30:00+00:00,2006,4,12,Wednesday,2006Q2
20060413,2006-04-13 22:30:00+00:00,2006,4,13,Thursday,2006Q2
20060414,2006-04-14 22:30:00+00:00,2006,4,14,Friday,2006Q2
20060415,2006-04-15 22:30:00+00:00,2006,4,15,Saturday,2006Q2
20060416,2006-04-16 22:30:00+00:00,2006,4,16,Sunday,2006Q2
20060417,2006-04-17 22:30:00+00:00,2006,4,17,Monday,2006Q2
20060418,2006-04-18 22:30:00+00:00,2006,4,18,Tuesday,2006Q2
20060419,2006-04-19 22:30:00+00:00,2006,4,19,Wednesday,2006Q2
20060420,2006-04-20 22:30:00+00:00,2006,4,20,Thursday,2006Q2
20060421,2006-04-21 22:30:00+00:00,2006,4,21,Friday,2006Q2
20060422,2006-04-22 22:30:00+00:00,2006,4,22,Saturday,2006Q2
20060423,2006-04-23 22:30:00+00:00,2006,4,23,Sunday,2006Q2
20060424,2006-04-24 22:30:00+00:00,2006,4,24,Monday,2006Q2
20060425,2006-04-25 22:30:00+00:00,2006,4,25,Tuesday,2006Q2
20060426,2006-04-26 22:30:00+00:00,2006,4,26,Wednesday,2006Q2
20060427,2006-04-27 22:30:00+00:00,2006,4,27,Thursday,2006Q2
20060428,2006-04-28 22:30:00+00:00,2006,4,28,Friday,2006Q2
20060429,2006-04-29 22:30:00+00:00,2006,4,29,Saturday,2006Q2
20060430,2006-04-30 22:30:00+00:00,2006,4,30,Sunday,2006Q2
20060501,2006-05-01 22:30:00+00:00,2006,5,1,Monday,2006Q2
20060502,2006-05-02 22:30:00+00:00,2006,5,2,Tuesday,2006Q2
20060503,2006-05-03 22:30:00+00:00,2006,5,3,Wednesday,2006Q2
20060504,2006-05-04 22:30:00+00:00,2006,5,4,Thursday,2006Q2
20060505,2006-05-05 22:30:00+00:00,2006,5,5,Friday,2006Q2
20060506,2006-05-06 22:30:00+00:00,2006,5,6,Saturday,2006Q2
20060507,2006-05-07 22:30:00+00:00,2006,5,7,Sunday,2006Q2
20060508,2006-05-08 22:30:00+00:00,2006,5,8,Monday,2006Q2
20060509,2006-05-09 22:30:00+00:00,2006,5,9,Tuesday,2006Q2
20060510,2006-05-10 22:30:00+00:00,2006,5,10,Wednesday,2006Q2
20060511,2006-05-11 22:30:00+00:00,2006,5,11,Thursday,2006Q2
20060512,2006-05-12 22:30:00+00:00,2006,5,12,Friday,2006Q2
20060513,2006-05-13 22:30:00+00:00,2006,5,13,Saturday,2006Q2
20060514,2006-05-14 22:30:00+00:00,2006,5,14,Sunday,2006Q2
20060515,2006-05-15 22:30:00+00:00,2006,5,15,Monday,2006Q2
20060516,2006-05-16 22:30:00+00:00,2006,5,16,Tuesday,2006Q2
20060517,2006-05-17 22:30:00+00:00,2006,5,17,Wednesday,2006Q2
20060518,2006-05-18 22:30:00+00:00,2006,5,18,Thursday,2006Q2
20060519,2006-05-19 22:30:00+00:00,2006,5,19,Friday,2006Q2
20060520,2006-05-20 22:30:00+00:00,2006,5,20,Saturday,2006Q2
20060521,2006-05-21 22:30:00+00:00,2006,5,21,Sunday,2006Q2
20060522,2006-05-22 22:30:00+00:00,2006,5,22,Monday,2006Q2
20060523,2006-05-23 22:30:00+00:00,2006,5,23,Tuesday,2006Q2
20060524,2006-05-24 22:30:00+00:00,2006,5,24,Wednesday,2006Q2
20060525,2006-05-25 22:30:00+00:00,2006,5,25,Thursday,2006Q2
20060526,2006-05-26 22:30:00+00:00,2006,5,26,Friday,2006Q2
